CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
02193,109,12.0,15.0
02193,098,12.0,15.0
02193,104,14.0,12.0
02193,099,14.0,12.0
02193,100,14.0,12.0
04649,002,10.0,14.0
01910,109,12.0,15.0
01911,098,12.0,15.0
01911,099,14.0,12.0
01911,100,14.0,12.0
01911,109,12.0,15.0
01912,098,12.0,15.0
01912,099,14.0,12.0
01912,100,14.0,12.0
01912,109,12.0,15.0
01913,098,12.0,15.0
01913,099,14.0,12.0
01913,100,14.0,12.0
01913,109,12.0,15.0
01914,098,12.0,15.0
01914,099,14.0,12.0
01914,100,14.0,12.0
01914,109,12.0,15.0
01915,098,12.0,15.0
01915,099,14.0,12.0
01915,100,14.0,12.0
01915,109,12.0,15.0
01916,098,12.0,15.0
01916,099,14.0,12.0
01916,100,14.0,12.0
04652,002,10.0,14.0
04653,002,10.0,14.0
04654,002,10.0,14.0
04655,002,10.0,14.0
04656,002,10.0,14.0
04658,002,10.0,14.0
04137,002,8.0,0.0
03329,109,12.0,15.0
03330,098,12.0,15.0
03330,099,14.0,12.0
03330,100,14.0,12.0
03330,104,14.0,12.0
03330,105,14.0,12.0
03330,109,12.0,15.0
03377,098,12.0,15.0
03377,099,14.0,12.0
03377,100,14.0,12.0
03377,104,14.0,12.0
03377,105,14.0,12.0
03377,109,12.0,15.0
04137,005,15.35,0.0
04137,019,14.0,0.0
03334,098,12.0,15.0
03334,099,14.0,12.0
03334,100,14.0,12.0
03334,104,14.0,12.0
03334,105,14.0,12.0
03334,109,12.0,15.0
03335,098,12.0,15.0
03335,099,14.0,12.0
03335,100,14.0,12.0
03335,104,14.0,12.0
03335,105,14.0,12.0
03335,109,12.0,15.0
03337,098,12.0,15.0
03337,099,14.0,12.0
03337,100,14.0,12.0
03337,104,14.0,12.0
03440,104,14.0,12.0
03440,105,14.0,12.0
03440,109,12.0,15.0
03441,098,12.0,15.0
03441,099,14.0,12.0
03441,100,14.0,12.0
03441,104,14.0,12.0
03441,105,14.0,12.0
03441,109,12.0,15.0
03442,098,12.0,15.0
03442,099,14.0,12.0
03442,100,14.0,12.0
03442,104,14.0,12.0
03442,105,14.0,12.0
03442,109,12.0,15.0
03443,098,12.0,15.0
03443,099,14.0,12.0
03443,100,14.0,12.0
03443,104,14.0,12.0
03443,105,14.0,12.0
03443,109,12.0,15.0
03444,098,12.0,15.0
03444,099,14.0,12.0
03444,100,14.0,12.0
03444,104,14.0,12.0
03444,105,14.0,12.0
03444,109,12.0,15.0
03445,098,12.0,15.0
03445,099,14.0,12.0
03445,100,14.0,12.0
03445,104,14.0,12.0
03445,105,14.0,12.0
03445,109,12.0,15.0
03446,098,12.0,15.0
03446,099,14.0,12.0
03446,100,14.0,12.0
03446,104,14.0,12.0
03446,105,14.0,12.0
03446,109,12.0,15.0
03448,098,12.0,15.0
03448,099,14.0,12.0
03448,100,14.0,12.0
03448,104,14.0,12.0
03448,105,14.0,12.0
03448,109,12.0,15.0
03453,098,12.0,15.0
03453,099,14.0,12.0
03453,100,14.0,12.0
03453,104,14.0,12.0
03453,105,14.0,12.0
03453,109,12.0,15.0
03454,098,12.0,15.0
03454,099,14.0,12.0
03454,100,14.0,12.0
03454,104,14.0,12.0
03454,105,14.0,12.0
03454,109,12.0,15.0
03456,098,12.0,15.0
03456,099,14.0,12.0
03456,100,14.0,12.0
03456,104,14.0,12.0
03456,105,14.0,12.0
03456,109,12.0,15.0
03457,098,12.0,15.0
03457,099,14.0,12.0
03457,100,14.0,12.0
03457,104,14.0,12.0
03457,105,14.0,12.0
03457,109,12.0,15.0
03459,098,12.0,15.0
03459,099,14.0,12.0
03459,100,14.0,12.0
03459,104,14.0,12.0
03459,105,14.0,12.0
03459,109,12.0,15.0
03462,098,12.0,15.0
03462,099,14.0,12.0
03462,100,14.0,12.0
03462,104,14.0,12.0
03462,105,14.0,12.0
03462,109,12.0,15.0
04137,029,18.53,0.0
04137,081,12.72,0.0
04137,078,20.94,0.0
04137,042,9.98,0.0
04137,105,14.0,0.0
04137,109,12.0,0.0
04137,103,12.0,0.0
04137,101,12.0,0.0
04137,098,12.0,0.0
04137,104,14.0,0.0
04137,102,12.0,0.0
04137,116,12.0,0.0
04137,099,14.0,0.0
04660,002,10.0,14.0
04661,002,10.0,14.0
04662,002,10.0,14.0
04663,002,10.0,14.0
04664,002,10.0,14.0
03465,098,12.0,15.0
03465,099,14.0,12.0
03465,100,14.0,12.0
03465,104,14.0,12.0
03465,105,14.0,12.0
03465,109,12.0,15.0
03467,098,12.0,15.0
03467,099,14.0,12.0
03467,100,14.0,12.0
03467,104,14.0,12.0
03467,105,14.0,12.0
03467,109,12.0,15.0
03468,098,12.0,15.0
03468,099,14.0,12.0
03468,100,14.0,12.0
03468,104,14.0,12.0
03468,105,14.0,12.0
03468,109,12.0,15.0
03469,096,12.0,15.0
03469,097,12.0,15.0
03469,098,12.0,15.0
03469,099,14.0,12.0
03469,100,14.0,12.0
03469,101,12.0,15.0
03469,102,12.0,15.0
03469,103,12.0,15.0
03469,104,14.0,15.0
03469,105,14.0,15.0
03469,109,12.0,15.0
03469,110,12.0,15.0
03469,116,12.0,15.0
03365,098,12.0,15.0
03365,099,14.0,12.0
03365,100,14.0,12.0
03365,104,14.0,12.0
03365,105,14.0,12.0
03365,109,12.0,15.0
03366,098,12.0,15.0
03366,099,14.0,12.0
03366,100,14.0,12.0
03366,104,14.0,12.0
03366,105,14.0,12.0
03366,109,12.0,15.0
03368,098,12.0,15.0
03368,099,14.0,12.0
03368,100,14.0,12.0
03368,104,14.0,12.0
03368,105,14.0,12.0
03368,109,12.0,15.0
03369,098,12.0,15.0
03369,099,14.0,12.0
03369,100,14.0,12.0
03369,104,14.0,12.0
03369,105,14.0,12.0
03369,109,12.0,15.0
03370,098,12.0,15.0
03370,099,14.0,12.0
03370,100,14.0,12.0
03370,104,14.0,12.0
03370,105,14.0,12.0
03370,109,12.0,15.0
03372,098,12.0,15.0
03372,099,14.0,12.0
03372,100,14.0,12.0
03372,104,14.0,12.0
03372,105,14.0,12.0
03372,109,12.0,15.0
03373,098,12.0,15.0
03373,099,14.0,12.0
03373,100,14.0,12.0
03373,104,14.0,12.0
03373,105,14.0,12.0
03373,109,12.0,15.0
04665,002,10.0,14.0
04668,002,10.0,14.0
04669,002,10.0,14.0
04670,002,10.0,14.0
04671,002,10.0,14.0
04674,002,10.0,14.0
04675,002,10.0,14.0
04137,097,12.0,0.0
03375,098,12.0,15.0
03375,099,14.0,12.0
03375,100,14.0,12.0
03375,104,14.0,12.0
03375,105,14.0,12.0
03375,109,12.0,15.0
03376,098,12.0,15.0
03376,099,14.0,12.0
03376,100,14.0,12.0
03376,104,14.0,12.0
03376,105,14.0,12.0
03376,109,12.0,15.0
03382,098,12.0,15.0
03382,099,14.0,12.0
03382,100,14.0,12.0
03382,104,14.0,12.0
03382,105,14.0,12.0
03382,109,12.0,15.0
01916,109,12.0,15.0
01917,098,12.0,15.0
01917,099,14.0,12.0
01917,100,14.0,12.0
01917,109,12.0,15.0
01918,098,12.0,15.0
01918,099,14.0,12.0
01918,100,14.0,12.0
01918,109,12.0,15.0
01919,098,12.0,15.0
01919,099,14.0,12.0
01919,100,14.0,12.0
01919,109,12.0,15.0
01920,098,12.0,15.0
01920,099,14.0,12.0
01920,100,14.0,12.0
01920,109,12.0,15.0
01921,098,12.0,15.0
01921,099,14.0,12.0
01921,100,14.0,12.0
01921,109,12.0,15.0
01922,098,12.0,15.0
01922,099,14.0,12.0
01922,100,14.0,12.0
04676,002,10.0,14.0
04677,002,10.0,14.0
04678,002,10.0,14.0
04680,002,10.0,14.0
01922,109,12.0,15.0
01923,098,12.0,15.0
01923,099,14.0,12.0
01923,100,14.0,12.0
01923,109,12.0,15.0
01925,098,12.0,15.0
01925,099,14.0,12.0
01925,100,14.0,12.0
01925,109,12.0,15.0
01926,098,12.0,15.0
01926,099,14.0,12.0
01926,100,14.0,12.0
01926,109,12.0,15.0
01927,098,12.0,15.0
01927,099,14.0,12.0
01927,100,14.0,12.0
01927,109,12.0,15.0
01928,098,12.0,15.0
01928,099,14.0,12.0
01928,100,14.0,12.0
01928,109,12.0,15.0
01929,098,12.0,15.0
01929,099,14.0,12.0
01929,100,14.0,12.0
01929,109,12.0,15.0
01930,098,12.0,15.0
01930,099,14.0,12.0
01930,100,14.0,12.0
01930,109,12.0,15.0
01931,098,12.0,15.0
01931,099,14.0,12.0
01931,100,14.0,12.0
01931,109,12.0,15.0
01932,098,12.0,15.0
01932,099,14.0,12.0
01932,100,14.0,12.0
01932,109,12.0,15.0
01933,098,12.0,15.0
01933,099,14.0,12.0
01933,100,14.0,12.0
01933,109,12.0,15.0
01934,098,12.0,15.0
01934,099,14.0,12.0
01934,100,14.0,12.0
01934,109,12.0,15.0
01935,098,12.0,15.0
01935,099,14.0,12.0
01935,100,14.0,12.0
01935,109,12.0,15.0
01936,098,12.0,15.0
01936,099,14.0,12.0
01936,100,14.0,12.0
01936,109,12.0,15.0
01937,098,12.0,15.0
01937,099,14.0,12.0
01937,100,14.0,12.0
01937,109,12.0,15.0
04682,002,10.0,14.0
04684,002,10.0,14.0
04137,096,12.0,0.0
04686,002,10.0,14.0
04687,002,10.0,14.0
04688,002,10.0,14.0
04690,002,10.0,14.0
04691,002,10.0,14.0
04692,002,10.0,14.0
00120,109,12.0,15.0
04694,002,10.0,14.0
04695,002,10.0,14.0
04697,002,10.0,14.0
04699,002,10.0,14.0
04700,002,10.0,14.0
04701,002,10.0,14.0
04702,002,10.0,15.0
04703,002,10.0,14.0
00120,103,13.0,0.0
00120,098,13.0,15.0
00120,102,13.0,0.0
00120,099,14.0,12.0
00120,096,13.0,0.0
00120,100,14.0,12.0
04704,002,10.0,14.0
04705,002,10.0,14.0
04707,002,10.0,14.0
04708,002,10.0,14.0
04710,002,10.0,14.0
04711,002,10.0,14.0
04712,002,10.0,14.0
04715,002,10.0,14.0
04716,002,10.0,14.0
04718,002,10.0,14.0
04719,002,10.0,14.0
04720,002,10.0,14.0
04721,002,10.0,14.0
04722,002,10.0,14.0
04726,002,10.0,14.0
04727,002,10.0,14.0
04732,002,10.0,14.0
04733,002,10.0,14.0
04734,002,10.0,14.0
04738,002,10.0,14.0
04740,002,10.0,14.0
04741,002,10.0,14.0
04743,002,10.0,14.0
04744,002,10.0,14.0
04746,002,10.0,14.0
04748,002,10.0,14.0
04749,002,10.0,14.0
04750,002,10.0,14.0
04751,002,10.0,14.0
04754,002,10.0,14.0
04756,002,10.0,14.0
04757,002,10.0,14.0
04758,002,10.0,14.0
04760,002,10.0,14.0
04761,002,10.0,14.0
04762,002,10.0,14.0
04763,002,10.0,14.0
04765,002,10.0,14.0
04766,002,10.0,14.0
04768,002,10.0,14.0
04769,002,10.0,14.0
04771,002,10.0,14.0
04772,002,10.0,14.0
04773,002,10.0,14.0
04774,002,10.0,14.0
04775,002,10.0,14.0
04777,002,10.0,14.0
04778,002,10.0,14.0
04779,002,10.0,14.0
04780,002,10.0,14.0
04781,002,10.0,14.0
04783,002,10.0,14.0
04785,002,10.0,14.0
04786,002,10.0,14.0
04787,002,10.0,14.0
04794,002,10.0,14.0
04798,002,10.0,14.0
04799,002,10.0,14.0
04800,002,10.0,14.0
04801,002,10.0,14.0
04803,002,10.0,14.0
04805,002,10.0,14.0
04806,002,10.0,14.0
04809,002,10.0,0.0
04812,002,10.0,14.0
04814,002,10.0,14.0
04816,002,10.0,14.0
04817,002,10.0,14.0
04118,049,12.0,11.0
04118,053,12.0,4.0
01723,099,14.0,10.0
01723,100,14.0,10.0
04818,002,10.0,14.0
04118,111,12.0,11.0
04819,002,10.0,14.0
04823,002,10.0,14.0
04824,002,10.0,14.0
04825,002,10.0,14.0
04826,002,10.0,14.0
04827,002,10.0,14.0
04830,002,10.0,14.0
04833,002,10.0,14.0
04837,002,10.0,0.0
04838,002,10.0,14.0
04840,002,10.0,14.0
04841,002,10.0,14.0
04843,002,10.0,14.0
04844,002,10.0,14.0
04845,002,10.0,14.0
04846,002,10.0,14.0
04847,002,10.0,14.0
04848,002,10.0,14.0
04849,002,10.0,14.0
04851,002,10.0,14.0
04852,002,10.0,14.0
04853,002,10.0,14.0
04854,002,10.0,14.0
04856,002,10.0,14.0
04859,002,10.0,14.0
04860,002,10.0,14.0
04863,002,10.0,14.0
04866,002,10.0,14.0
04868,002,10.0,14.0
04055,053,12.0,11.0
04802,002,10.0,14.0
04875,002,10.0,14.0
01205,099,14.0,13.0
01205,100,14.0,13.0
04877,002,10.0,14.0
04878,002,10.0,14.0
04879,002,10.0,14.0
04880,002,10.0,14.0
04881,002,10.0,14.0
04882,002,10.0,14.0
04883,002,10.0,14.0
04885,002,10.0,14.0
04893,002,10.0,14.0
04898,002,10.0,14.0
04901,002,10.0,14.0
04905,002,10.0,14.0
04907,002,10.0,14.0
04808,002,10.0,14.0
04808,105,14.0,12.0
04808,109,12.0,15.0
04808,098,12.0,15.0
04808,104,14.0,12.0
04909,002,10.0,14.0
04910,002,10.0,14.0
04911,002,10.0,14.0
04913,002,10.0,14.0
04914,002,10.0,14.0
04918,002,10.0,14.0
04920,002,10.0,14.0
04921,002,10.0,14.0
04930,002,10.0,14.0
04931,002,10.0,14.0
04933,002,10.0,14.0
04934,002,10.0,14.0
04935,002,10.0,14.0
04937,002,10.0,14.0
04939,002,10.0,14.0
04940,002,10.0,14.0
04941,002,10.0,14.0
04943,002,10.0,14.0
04944,002,10.0,14.0
04945,002,10.0,14.0
04946,002,10.0,14.0
04949,002,10.0,14.0
04952,002,10.0,14.0
04954,002,10.0,14.0
04955,002,10.0,14.0
04958,002,10.0,14.0
04959,002,10.0,14.0
04960,002,10.0,14.0
04961,002,10.0,14.0
04964,002,10.0,14.0
04965,002,10.0,14.0
04966,002,10.0,14.0
04967,002,10.0,14.0
04970,002,10.0,14.0
04971,002,10.0,14.0
04973,002,10.0,14.0
04974,002,10.0,14.0
04975,002,10.0,14.0
04977,002,10.0,14.0
04978,002,10.0,14.0
04979,002,10.0,14.0
04981,002,10.0,14.0
04982,002,10.0,14.0
04985,002,10.0,14.0
04986,002,10.0,14.0
01938,098,12.0,15.0
01938,099,14.0,12.0
01938,100,14.0,12.0
01938,109,12.0,15.0
01939,098,12.0,15.0
01939,099,14.0,12.0
01939,100,14.0,12.0
01939,109,12.0,15.0
01940,098,12.0,15.0
01940,099,14.0,12.0
01940,100,14.0,12.0
01940,109,12.0,15.0
01941,098,12.0,15.0
01941,099,14.0,12.0
01941,100,14.0,12.0
01941,109,12.0,15.0
01942,098,12.0,15.0
01942,099,14.0,12.0
01942,100,14.0,12.0
01942,109,12.0,15.0
01943,098,12.0,15.0
01943,099,14.0,12.0
01943,100,14.0,12.0
01943,109,12.0,15.0
01944,098,12.0,15.0
01944,099,14.0,12.0
01944,100,14.0,12.0
01944,109,12.0,15.0
01945,098,12.0,15.0
01945,099,14.0,12.0
01945,100,14.0,12.0
01945,109,12.0,15.0
01947,098,12.0,15.0
01947,099,14.0,12.0
01947,100,14.0,12.0
01947,109,12.0,15.0
01948,098,12.0,15.0
01948,099,14.0,12.0
01948,100,14.0,12.0
01948,109,12.0,15.0
01949,098,12.0,15.0
01949,099,14.0,12.0
01949,100,14.0,12.0
01949,109,12.0,15.0
01950,098,12.0,15.0
01950,099,14.0,12.0
01950,100,14.0,12.0
01950,109,12.0,15.0
01951,098,12.0,15.0
01951,099,14.0,12.0
01951,100,14.0,12.0
01951,109,12.0,15.0
01952,098,12.0,15.0
01952,099,14.0,12.0
01952,100,14.0,12.0
01952,109,12.0,15.0
01953,098,12.0,15.0
01953,099,14.0,12.0
01953,100,14.0,12.0
01953,109,12.0,15.0
01954,098,12.0,15.0
01954,099,14.0,12.0
01954,100,14.0,12.0
01954,109,12.0,15.0
01955,098,12.0,15.0
01955,099,14.0,12.0
01955,100,14.0,12.0
04808,099,14.0,12.0
04808,100,14.0,12.0
03397,105,14.0,12.0
04987,002,10.0,14.0
07466,124,12.0,0.0
04992,002,10.0,14.0
04993,002,10.0,14.0
04996,002,10.0,14.0
04997,002,10.0,14.0
04998,002,10.0,14.0
04999,002,10.0,14.0
05000,002,10.0,14.0
05002,002,10.0,14.0
05004,002,10.0,14.0
05007,002,10.0,14.0
05012,002,10.0,14.0
05016,002,10.0,14.0
05022,002,10.0,14.0
05024,002,10.0,14.0
05025,002,10.0,14.0
05027,002,10.0,14.0
05028,002,10.0,14.0
05030,002,10.0,14.0
05031,002,10.0,14.0
05037,002,10.0,14.0
05038,002,10.0,14.0
05039,002,10.0,14.0
05046,002,10.0,14.0
05049,002,10.0,14.0
04137,100,14.0,0.0
05062,002,10.0,0.0
05064,002,10.0,14.0
05065,002,10.0,14.0
05069,002,10.0,14.0
05071,002,10.0,14.0
05072,002,10.0,14.0
05075,002,10.0,14.0
05079,002,10.0,14.0
05081,002,10.0,14.0
05084,002,10.0,14.0
05088,002,10.0,14.0
05093,002,10.0,14.0
05099,002,10.0,14.0
05100,002,10.0,14.0
05103,002,10.0,0.0
05107,002,10.0,14.0
05108,002,10.0,14.0
05109,002,10.0,14.0
05113,002,10.0,0.0
05114,002,10.0,14.0
05115,002,10.0,14.0
05118,002,10.0,14.0
05119,002,10.0,14.0
05122,002,10.0,14.0
05123,002,10.0,14.0
05125,002,10.0,14.0
05126,002,10.0,14.0
05128,002,10.0,14.0
05129,002,10.0,14.0
05131,002,10.0,14.0
05132,002,10.0,14.0
05133,002,10.0,14.0
05134,002,10.0,14.0
05135,002,10.0,14.0
05136,002,10.0,14.0
05138,002,10.0,14.0
05139,002,10.0,14.0
05141,002,10.0,14.0
05142,002,10.0,14.0
05146,002,10.0,14.0
05147,002,10.0,14.0
05149,002,10.0,14.0
05150,002,10.0,14.0
04137,110,12.0,0.0
05153,002,10.0,14.0
05154,002,10.0,14.0
04137,111,12.0,0.0
05157,002,10.0,14.0
05158,002,10.0,14.0
05159,002,10.0,14.0
05160,002,10.0,14.0
05161,002,10.0,14.0
05162,002,10.0,14.0
03007,002,12.0,14.0
05167,002,10.0,14.0
01955,109,12.0,15.0
01956,098,12.0,15.0
01956,099,14.0,12.0
01956,100,14.0,12.0
01956,109,12.0,15.0
01957,098,12.0,15.0
01957,099,14.0,12.0
01957,100,14.0,12.0
01957,109,12.0,15.0
01958,098,12.0,15.0
01958,099,14.0,12.0
01958,100,14.0,12.0
01958,109,12.0,15.0
05168,002,10.0,14.0
05169,002,10.0,14.0
05170,002,10.0,14.0
05171,002,10.0,14.0
05172,002,10.0,14.0
05176,002,10.0,14.0
04137,049,12.0,0.0
01959,098,12.0,15.0
01959,099,14.0,12.0
01959,100,14.0,12.0
01959,109,12.0,15.0
05181,002,10.0,14.0
05183,002,10.0,14.0
05186,002,10.0,14.0
05188,002,10.0,14.0
05189,002,10.0,14.0
05190,002,10.0,14.0
05192,002,10.0,14.0
05193,002,10.0,14.0
05194,002,10.0,14.0
05195,002,10.0,14.0
04137,053,12.0,0.0
05205,002,10.0,14.0
05210,002,10.0,14.0
01960,098,12.0,15.0
01960,099,14.0,12.0
01960,100,14.0,12.0
01960,109,12.0,15.0
01961,098,12.0,15.0
01961,099,14.0,12.0
01961,100,14.0,12.0
01961,109,12.0,15.0
01962,098,12.0,15.0
01962,099,14.0,12.0
01962,100,14.0,12.0
01962,109,12.0,15.0
01963,098,12.0,15.0
01963,099,14.0,12.0
01963,100,14.0,12.0
01963,109,12.0,15.0
01964,098,12.0,15.0
01964,099,14.0,12.0
01964,100,14.0,12.0
01964,109,12.0,15.0
03409,098,12.0,15.0
03409,099,14.0,12.0
03409,100,14.0,12.0
03409,104,14.0,12.0
03409,105,14.0,12.0
03409,109,12.0,15.0
05219,002,10.0,14.0
05224,002,10.0,14.0
05225,002,10.0,14.0
05234,002,10.0,14.0
05237,002,10.0,14.0
04137,107,5.35,0.0
05239,002,10.0,14.0
05244,002,10.0,14.0
05245,002,10.0,14.0
05246,002,10.0,14.0
05250,002,10.0,14.0
03470,098,12.0,15.0
03470,099,14.0,12.0
03470,100,14.0,12.0
03470,104,14.0,12.0
03470,105,14.0,12.0
03470,109,12.0,15.0
03471,098,12.0,15.0
03471,099,14.0,12.0
03471,100,14.0,12.0
03471,104,14.0,12.0
03471,105,14.0,12.0
03471,109,12.0,15.0
05255,002,10.0,14.0
05256,002,10.0,14.0
05258,002,10.0,14.0
05259,002,10.0,14.0
03473,104,14.0,12.0
03473,105,14.0,12.0
03473,109,12.0,15.0
03474,098,12.0,15.0
03474,099,14.0,12.0
03474,100,14.0,12.0
03474,104,14.0,12.0
03474,105,14.0,12.0
03474,109,12.0,15.0
03475,116,12.0,5.0
03476,098,12.0,15.0
03476,099,14.0,12.0
03476,100,14.0,12.0
03476,104,14.0,12.0
03476,105,14.0,12.0
03476,109,12.0,15.0
03477,098,12.0,15.0
03477,099,14.0,12.0
03477,100,14.0,12.0
03477,104,14.0,12.0
03477,105,14.0,12.0
03477,109,12.0,15.0
03478,098,12.0,15.0
03478,099,14.0,12.0
03478,100,14.0,12.0
03478,104,14.0,12.0
03478,105,14.0,12.0
03478,109,12.0,15.0
03479,098,12.0,15.0
03479,099,14.0,12.0
03479,100,14.0,12.0
03479,104,14.0,12.0
03479,105,14.0,12.0
03479,109,12.0,15.0
03480,098,12.0,15.0
03480,099,14.0,12.0
03480,100,14.0,12.0
03480,104,14.0,12.0
03480,105,14.0,12.0
03480,109,12.0,15.0
03481,098,12.0,15.0
03481,099,14.0,12.0
03481,100,14.0,12.0
03481,104,14.0,12.0
03481,105,14.0,12.0
03481,109,12.0,15.0
03482,098,12.0,15.0
03482,099,14.0,12.0
03482,100,14.0,12.0
03482,104,14.0,12.0
03482,105,14.0,12.0
03482,109,12.0,15.0
03483,098,12.0,15.0
03483,099,14.0,12.0
03483,100,14.0,12.0
03483,104,14.0,12.0
03483,105,14.0,12.0
03483,109,12.0,15.0
03484,098,12.0,15.0
03484,099,14.0,12.0
03484,100,14.0,12.0
03484,104,14.0,12.0
03484,105,14.0,12.0
03484,109,12.0,15.0
03486,098,12.0,15.0
03486,099,14.0,12.0
03486,100,14.0,12.0
03486,104,14.0,12.0
03486,105,14.0,12.0
03486,109,12.0,15.0
03487,098,12.0,15.0
03487,099,14.0,12.0
03487,100,14.0,12.0
03487,104,14.0,12.0
03487,105,14.0,12.0
03487,109,12.0,15.0
03488,098,12.0,15.0
03488,099,14.0,12.0
03488,100,14.0,12.0
03488,104,14.0,12.0
03488,105,14.0,12.0
03488,109,12.0,15.0
03489,098,12.0,15.0
03489,099,14.0,12.0
03489,100,14.0,12.0
03489,104,14.0,12.0
03489,105,14.0,12.0
03489,109,12.0,15.0
03490,098,12.0,15.0
03490,099,14.0,12.0
03490,100,14.0,12.0
03490,104,14.0,12.0
03490,105,14.0,12.0
03490,109,12.0,15.0
03491,098,12.0,15.0
03491,099,14.0,12.0
03491,100,14.0,12.0
03491,104,14.0,12.0
03491,105,14.0,12.0
03491,109,12.0,15.0
03492,098,12.0,15.0
03492,099,14.0,12.0
03492,100,14.0,12.0
03492,104,14.0,12.0
03492,105,14.0,12.0
03492,109,12.0,15.0
03494,098,12.0,15.0
03494,099,14.0,12.0
03494,100,14.0,12.0
03494,104,14.0,12.0
03494,105,14.0,12.0
03494,109,12.0,15.0
03495,098,12.0,15.0
03495,099,14.0,12.0
03495,100,14.0,12.0
03495,104,14.0,12.0
03495,105,14.0,12.0
03495,109,12.0,15.0
03497,098,12.0,15.0
03497,099,14.0,12.0
03497,100,14.0,12.0
03497,104,14.0,12.0
03497,105,14.0,12.0
03497,109,12.0,15.0
03498,098,12.0,15.0
03498,099,14.0,12.0
03498,100,14.0,12.0
03498,104,14.0,12.0
03498,105,14.0,12.0
03498,109,12.0,15.0
03499,098,12.0,15.0
03499,099,14.0,12.0
03499,100,14.0,12.0
03499,104,14.0,12.0
03499,105,14.0,12.0
03499,109,12.0,15.0
03501,098,12.0,15.0
03501,099,14.0,12.0
03501,100,14.0,12.0
03501,104,14.0,12.0
03501,105,14.0,12.0
03501,109,12.0,15.0
03507,098,12.0,15.0
03507,099,14.0,12.0
03507,100,14.0,12.0
03507,104,14.0,12.0
03507,105,14.0,12.0
03507,109,12.0,15.0
03508,098,12.0,15.0
03508,099,14.0,12.0
03508,100,14.0,12.0
03508,104,14.0,12.0
03508,105,14.0,12.0
03508,109,12.0,15.0
03509,098,12.0,15.0
03509,099,14.0,12.0
03509,100,14.0,12.0
03509,104,14.0,12.0
03509,105,14.0,12.0
03509,109,12.0,15.0
03510,098,12.0,15.0
03510,099,14.0,12.0
03510,100,14.0,12.0
03510,104,14.0,12.0
03510,105,14.0,12.0
03510,109,12.0,15.0
05262,002,10.0,14.0
05263,002,10.0,14.0
05264,002,10.0,14.0
05270,002,10.0,14.0
05271,002,10.0,14.0
05272,002,10.0,14.0
05273,002,10.0,14.0
05277,002,10.0,14.0
05278,002,10.0,14.0
05279,002,10.0,14.0
05282,002,10.0,14.0
05283,002,10.0,14.0
05284,002,10.0,14.0
05285,002,10.0,14.0
05286,002,10.0,14.0
05287,002,10.0,14.0
05288,002,10.0,14.0
05293,002,10.0,14.0
05294,002,10.0,14.0
05295,002,10.0,14.0
05296,002,10.0,14.0
05297,002,10.0,14.0
05298,002,10.0,14.0
05305,002,10.0,14.0
05306,002,10.0,14.0
05307,002,10.0,14.0
05309,002,10.0,14.0
05313,002,10.0,14.0
05314,002,10.0,14.0
05320,002,10.0,14.0
05321,002,10.0,14.0
05324,002,10.0,14.0
05325,002,10.0,14.0
05326,002,10.0,14.0
05332,002,10.0,14.0
05333,002,10.0,14.0
05334,002,10.0,14.0
05335,002,10.0,14.0
05341,002,10.0,14.0
05342,002,10.0,14.0
05348,002,10.0,14.0
05349,002,10.0,0.0
05350,002,10.0,14.0
05352,002,10.0,14.0
05357,002,10.0,14.0
05360,002,10.0,14.0
05361,002,10.0,0.0
05362,002,10.0,14.0
05368,002,10.0,14.0
05369,002,10.0,14.0
05370,002,10.0,14.0
05374,002,10.0,14.0
01965,098,12.0,15.0
01965,099,14.0,12.0
01965,100,14.0,12.0
01965,109,12.0,15.0
01966,098,12.0,15.0
01966,099,14.0,12.0
01966,100,14.0,12.0
01966,109,12.0,15.0
01967,098,12.0,15.0
01967,099,14.0,12.0
01967,100,14.0,12.0
01967,109,12.0,15.0
01968,098,12.0,15.0
01968,099,14.0,12.0
01968,100,14.0,12.0
01968,109,12.0,15.0
01969,098,12.0,15.0
01969,099,14.0,12.0
01969,100,14.0,12.0
01969,109,12.0,15.0
01970,098,12.0,15.0
01970,099,14.0,12.0
01970,100,14.0,12.0
05376,002,10.0,14.0
05376,105,14.0,12.0
05376,109,12.0,15.0
05376,098,12.0,15.0
05376,104,14.0,12.0
05376,099,14.0,12.0
05376,100,14.0,12.0
05376,053,12.0,10.0
03513,098,12.0,15.0
03513,099,14.0,12.0
03513,100,14.0,12.0
03513,104,14.0,12.0
03513,105,14.0,12.0
03513,109,12.0,15.0
03514,098,12.0,15.0
03514,099,14.0,12.0
03514,100,14.0,12.0
03514,104,14.0,12.0
03514,105,14.0,12.0
03514,109,12.0,15.0
05377,002,10.0,14.0
05380,002,10.0,14.0
05381,002,10.0,0.0
05382,002,10.0,14.0
05388,002,10.0,14.0
05391,002,10.0,14.0
05392,002,10.0,14.0
05393,002,10.0,14.0
05395,002,10.0,14.0
05397,002,10.0,14.0
05400,002,10.0,14.0
03516,098,12.0,15.0
03516,099,14.0,12.0
03516,100,14.0,12.0
03516,104,14.0,12.0
03516,105,14.0,12.0
03516,109,12.0,15.0
03519,098,12.0,15.0
03519,099,14.0,12.0
03519,100,14.0,12.0
03519,104,14.0,12.0
03519,105,14.0,12.0
03519,109,12.0,15.0
05401,002,10.0,14.0
05403,002,10.0,14.0
