CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
06581,049,12.0,10.0
04069,105,14.0,12.0
04069,109,12.0,15.0
04069,098,12.0,15.0
04069,104,14.0,12.0
05528,098,12.0,15.0
05528,099,14.0,12.0
05528,100,14.0,12.0
06595,111,12.0,10.0
06595,049,12.0,10.0
06603,111,12.0,10.0
06603,049,12.0,10.0
04069,099,14.0,12.0
04986,053,12.0,6.0
04069,100,14.0,12.0
03204,019,8.0,0.0
03204,105,14.0,0.0
03204,109,12.0,0.0
03204,103,12.0,0.0
03204,101,12.0,0.0
03204,098,12.0,0.0
03204,104,14.0,0.0
03204,102,12.0,0.0
03204,116,12.0,0.0
03204,099,14.0,0.0
03204,097,12.0,0.0
03204,096,12.0,0.0
03204,100,14.0,0.0
03204,110,12.0,0.0
07256,105,14.0,12.0
07256,104,14.0,12.0
01634,098,12.0,15.0
01634,099,14.0,12.0
01634,100,14.0,12.0
01634,109,12.0,15.0
07337,053,12.0,10.0
07256,099,14.0,12.0
07256,100,14.0,12.0
05442,105,14.0,12.0
05442,109,12.0,15.0
05442,098,12.0,15.0
05442,104,14.0,12.0
05442,099,14.0,12.0
05442,100,14.0,12.0
01635,098,12.0,15.0
01635,099,14.0,12.0
01635,100,14.0,12.0
01635,109,12.0,15.0
05492,005,14.0,13.8
05492,019,10.0,13.97
05492,029,13.0,16.67
05492,081,11.0,23.44
05492,078,11.0,19.49
05492,042,7.0,8.35
05492,107,17.0,3.78
01636,098,12.0,15.0
01636,099,14.0,12.0
01636,100,14.0,12.0
01636,109,12.0,15.0
01637,098,12.0,15.0
01637,099,14.0,12.0
01637,100,14.0,12.0
01637,109,12.0,15.0
01638,098,12.0,15.0
01638,099,14.0,12.0
01638,100,14.0,12.0
01638,109,12.0,15.0
02854,002,12.0,14.0
00003,002,12.0,14.0
04477,002,12.0,14.0
02520,002,12.0,14.0
00007,002,12.0,14.0
00010,002,12.0,14.0
00013,002,12.0,14.0
00015,002,12.0,14.0
00131,002,12.0,14.0
07358,100,14.0,12.0
00017,002,12.0,14.0
00021,002,12.0,14.0
00022,002,12.0,14.0
00027,002,12.0,14.0
00031,002,12.0,14.0
00034,002,12.0,0.0
00035,002,12.0,14.0
00036,002,12.0,14.0
00037,002,12.0,14.0
00045,002,12.0,14.0
00051,002,12.0,14.0
00052,002,12.0,14.0
00057,002,12.0,14.0
00060,002,12.0,14.0
00066,002,12.0,14.0
04055,099,14.0,13.0
04055,100,14.0,13.0
04055,104,14.0,13.0
04055,105,14.0,13.0
03703,105,14.0,12.0
03703,109,12.0,15.0
03703,098,12.0,15.0
03703,104,14.0,12.0
03703,099,14.0,12.0
03703,100,14.0,12.0
00073,002,12.0,14.0
03703,111,12.0,5.0
03703,049,12.0,5.0
00081,002,12.0,14.0
00082,002,12.0,14.0
00087,002,12.0,14.0
00094,002,12.0,14.0
00095,002,12.0,14.0
00097,002,12.0,14.0
06860,105,14.0,12.0
06860,109,12.0,15.0
06860,098,12.0,15.0
06860,104,14.0,12.0
06860,099,14.0,12.0
01639,098,12.0,15.0
01639,099,14.0,12.0
01639,100,14.0,12.0
01639,109,12.0,15.0
01640,098,12.0,15.0
01640,099,14.0,12.0
01640,100,14.0,12.0
01640,109,12.0,15.0
01641,098,12.0,15.0
01641,099,14.0,12.0
01641,100,14.0,12.0
01641,109,12.0,15.0
01643,098,12.0,15.0
01643,099,14.0,12.0
01643,100,14.0,12.0
01643,109,12.0,15.0
01644,098,12.0,15.0
01644,099,14.0,12.0
01644,100,14.0,12.0
01644,109,12.0,15.0
01645,098,12.0,15.0
01645,099,14.0,12.0
01645,100,14.0,12.0
04627,053,12.0,10.0
07162,053,12.0,10.0
02968,105,14.0,12.0
02968,109,12.0,15.0
02968,098,12.0,15.0
02968,104,14.0,12.0
01645,109,12.0,15.0
01647,098,12.0,15.0
01647,099,14.0,12.0
01647,100,14.0,12.0
01647,109,12.0,15.0
01649,098,12.0,15.0
01649,099,14.0,12.0
01649,100,14.0,12.0
01649,109,12.0,15.0
01650,098,12.0,15.0
07040,098,12.0,15.0
07040,099,14.0,12.0
07040,100,14.0,12.0
07040,105,14.0,12.0
07040,109,12.0,15.0
02968,099,14.0,12.0
02968,100,14.0,12.0
02968,111,12.0,8.0
02968,049,12.0,8.0
03694,105,14.0,12.0
03694,109,12.0,15.0
00078,109,12.0,15.0
00078,103,13.0,12.0
00078,098,13.0,15.0
00078,102,13.0,12.0
00078,099,14.0,12.0
00078,096,13.0,12.0
00078,100,14.0,12.0
03694,098,12.0,15.0
03694,104,14.0,12.0
03694,099,14.0,12.0
06956,105,14.0,12.0
06956,109,12.0,15.0
06956,098,12.0,15.0
01650,099,14.0,12.0
01650,100,14.0,12.0
01650,109,12.0,15.0
01651,098,12.0,15.0
01651,099,14.0,12.0
01651,100,14.0,12.0
01651,109,12.0,15.0
01652,098,12.0,15.0
01652,099,14.0,12.0
01652,100,14.0,12.0
01652,109,12.0,15.0
01653,098,12.0,15.0
01653,099,14.0,12.0
01653,100,14.0,12.0
01653,109,12.0,15.0
01654,098,12.0,15.0
01654,099,14.0,12.0
01654,100,14.0,12.0
01654,109,12.0,15.0
01655,098,12.0,15.0
01655,099,14.0,12.0
01655,100,14.0,12.0
01655,109,12.0,15.0
01657,098,12.0,15.0
01657,099,14.0,12.0
01657,100,14.0,12.0
01657,109,12.0,15.0
01658,098,12.0,15.0
